Name,S1,S2,S3,S4,Cluster
IA Allamakee,0.1068293,4.5034788e-12,0.39561272,0.53302765,A
IA Appanoose,0.055535764,8.044002e-17,0.24074495,0.6977292,B
IA Audubon,0.053247806,8.044002e-17,0.25383973,0.6601444,A
IA Benton,0.0143842865,8.044002e-17,0.39816836,0.5261266,A
IA Black Hawk,0.15414698,0.0732488,0.582786,0.2848134,D
IA Boone,0.023843262,8.044002e-17,0.46959543,0.5090505,A
IA Bremer,0.06751106,8.044002e-17,0.5133413,0.38613832,A
IA Buchanan,0.011169527,0.047362268,0.3797055,0.53226304,A
IA Buena Vista,0.33780095,0.27708608,0.35744616,0.25096065,C
IA Butler,0.032145273,8.044002e-17,0.28566727,0.63070685,A
IA Calhoun,0.04973499,8.969044e-17,0.31582054,0.6269802,A
IA Carroll,0.025894595,8.044002e-17,0.37344044,0.5623221,A
IA Cass,0.009727518,8.044002e-17,0.31685352,0.64898044,A
IA Cedar,0.018200802,8.044002e-17,0.4107771,0.52018803,A
IA Cerro Gordo,0.08369865,8.044002e-17,0.46529117,0.49403912,A
IA Cherokee,0.029601391,8.044002e-17,0.32940614,0.6240088,A
IA Chickasaw,5.6807575e-17,8.044002e-17,0.38669652,0.5677198,A
IA Clarke,0.07499533,0.070262216,0.30193377,0.572798,A
IA Clay,0.032629352,1.5973889e-12,0.40659493,0.5717013,A
IA Clayton,0.041112877,8.044002e-17,0.36638317,0.5640059,A
IA Clinton,0.02610731,0.021513933,0.39913636,0.55277205,A
IA Crawford,0.12871188,0.25817174,0.2413689,0.4696101,C
IA Dallas,0.09800934,0.060488533,0.64113647,0.21422875,D
IA Davis,0.033128783,0.16441597,0.22288446,0.56954175,B
IA Decatur,5.6807575e-17,0.106803216,0.29942244,0.562714,A
IA Delaware,0.027114555,8.044002e-17,0.3681863,0.5531415,A
IA Des Moines,0.014468276,0.119020715,0.33827096,0.54058635,A
IA Dickinson,0.07014484,8.044002e-17,0.41152027,0.5259389,A
IA Dubuque,0.075875536,9.132974e-14,0.56380194,0.37648392,A
IA Emmet,0.06787956,0.08052268,0.32108447,0.5656305,A
IA Fayette,0.0051937206,7.8046886e-16,0.39996707,0.5723645,A
IA Floyd,0.032043673,1.074927e-9,0.37363377,0.59834933,A
IA Franklin,0.16079003,9.74155e-7,0.3304064,0.5665279,A
IA Fremont,5.6807575e-17,8.044002e-17,0.23974596,0.703452,B
IA Greene,5.6807575e-17,8.044002e-17,0.3560804,0.6199797,A
IA Grundy,0.016083296,8.044002e-17,0.35909557,0.5618619,A
IA Guthrie,0.1005836,8.044002e-17,0.33625695,0.566606,A
IA Hamilton,0.044503964,2.463901e-11,0.40681276,0.551807,A
IA Hancock,0.035234343,8.044002e-17,0.33179352,0.6008958,A
IA Hardin,0.010434388,1.0342273e-10,0.3744103,0.5874507,A
IA Harrison,0.009749851,8.044002e-17,0.31246117,0.63580585,A
IA Henry,0.041408576,5.8286034e-5,0.36171043,0.60528034,A
IA Howard,0.023828065,8.044002e-17,0.3580546,0.5856129,A
IA Humboldt,0.041884914,8.044002e-17,0.30246946,0.63819426,A
IA Ida,5.6807575e-17,8.044002e-17,0.2761359,0.68458694,A
IA Iowa,0.011884435,8.044002e-17,0.42073524,0.52114797,A
IA Jackson,0.0053109974,8.044002e-17,0.36489105,0.5976269,A
IA Jasper,0.13962412,8.044002e-17,0.40206513,0.49737915,A
IA Jefferson,5.6807575e-17,0.06058602,0.498461,0.42829955,A
IA Johnson,0.0339454,0.14310592,0.81666595,0.0361699,D
IA Jones,0.014396318,1.3017339e-16,0.42194587,0.5288849,A
IA Keokuk,0.024592476,8.044002e-17,0.2942382,0.62198776,A
IA Kossuth,5.6807575e-17,8.044002e-17,0.3281761,0.62228423,A
IA Lee,0.016526347,0.018999463,0.2890989,0.6850726,A
IA Linn,0.09054917,2.9273138e-5,0.6676838,0.29416803,D
IA Louisa,0.3219574,0.118412435,0.26582962,0.45320833,A
IA Lucas,0.09537785,8.044002e-17,0.24954598,0.6659316,B
IA Lyon,0.01280733,0.039142054,0.27493015,0.6132417,A
IA Madison,0.03160043,8.044002e-17,0.3993858,0.52104574,A
IA Mahaska,0.1453423,8.044002e-17,0.333812,0.5477521,A
IA Marion,5.6807575e-17,6.675668e-14,0.4307233,0.52108854,A
IA Marshall,0.1924602,0.19556665,0.39219272,0.35360327,A
IA Mills,0.0054264595,8.044002e-17,0.33749542,0.62168056,A
IA Mitchell,5.6807575e-17,8.044002e-17,0.36316058,0.5767536,A
IA Monona,0.025595399,8.044002e-17,0.24514577,0.73115414,B
IA Monroe,0.17314266,8.044002e-17,0.20345637,0.66013193,B
IA Montgomery,0.062443458,0.06534077,0.22915505,0.6852739,B
IA Muscatine,0.24011861,0.035252687,0.4303648,0.42029485,A
IA O'Brien,0.052103046,8.044002e-17,0.35713565,0.5881122,A
IA Osceola,0.02226181,0.005741439,0.33281836,0.6210072,A
IA Page,5.6807575e-17,0.0014904485,0.32696125,0.67100567,A
IA Palo Alto,5.6807575e-17,2.1259642e-15,0.38471308,0.59868246,A
IA Plymouth,0.09012645,8.044002e-17,0.39189824,0.5148412,A
IA Pocahontas,0.062716775,8.044002e-17,0.33557314,0.61105204,A
