FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
57,191465,-110.843750000000000,37.531250000000000,1079.000000000000000,{8CA31DF6-A275-42DC-A315-4D8307862DD8},14070001,Upper Lake Powell,{FFE90C10-7D95-44C9-960C-1A31B2D80506},129467,14070001
58,207766,-113.093750000000000,36.468750000000000,733.000000000000000,{1A0B0282-69CF-4304-A74B-ADA090EB54B4},15010002,Grand Canyon,{20CAF047-97AB-49E1-B2D3-03F7E6C97470},141879,15010002
59,233771,-109.468750000000000,34.781250000000000,175.000000000000000,{26DFDAF3-F10C-424A-8FF7-433F1B7FCE00},15020004,Zuni,{E606D6E7-1604-4177-9048-A005D43020B5},161334,15020004
60,248109,-114.281250000000000,33.843750000000000,755.000000000000000,{44628355-CCB0-4DC9-A372-B15C42CF1B22},15030106,Tyson Wash,{EB752A0A-BD16-4B1C-BEA6-14F7BDCE2564},171326,15030106
61,257808,-108.718750000000000,33.218750000000000,176.000000000000000,{89233D54-146D-4110-8DE8-516DD7B99C2E},15040002,Upper Gila-Mangas,{939CCC84-0931-4B34-853B-2BFF8E022644},177603,15040002
62,234679,-112.781250000000000,34.718750000000000,777.000000000000000,{A66D7770-F6C9-4C7E-A9B9-5AF6AF0F3906},15060201,Big Chino-Williamson Valley,{4E803F78-CCDA-45F2-8C55-52FF0A3CF688},161987,15060201
63,126121,-110.593750000000000,41.781250000000000,1477.000000000000000,{2F8B9222-0707-4E16-8A60-97A30501FBFA},14040108,Muddy,{2856465D-E0C6-4721-9657-A0925610E6A6},76088,14040108
64,209740,-109.843750000000000,36.343750000000000,747.000000000000000,{C1B50806-1D44-405F-BBEA-3CB124F60585},15020013,Polacca Wash,{62B4C353-50CF-4D7A-B80A-B79ADEBECD18},143399,15020013
65,156918,-107.781250000000000,39.781250000000000,1116.000000000000000,{BD95617E-E78D-42C6-B571-8E30B02E0151},14010005,Colorado Headwaters-Plateau,{070E33BB-098C-4666-8A77-3AE25C67B8C5},102099,14010005
66,234676,-112.968750000000000,34.718750000000000,758.000000000000000,{A979994B-BA1C-4F7D-BD40-4198D91CF706},15030203,Santa Maria,{6A359D01-2A8E-49D7-AB22-FD0489C308C1},161984,15030203
67,172298,-107.531250000000000,38.781250000000000,1228.000000000000000,{4EED71FB-EF76-4C19-AF12-20EB00933CC8},14020002,Upper Gunnison,{454093E1-ACB8-4117-AA58-951412864B22},114569,14020002
68,285639,-111.093750000000000,31.406250000000000,765.000000000000000,{EE94F429-A5EE-4583-8558-00435EF322A7},15050301,Upper Santa Cruz,{0D76FF07-6996-4095-A9BB-1EC142981681},193177,15050301
69,151116,-110.031250000000000,40.156250000000000,1074.000000000000000,{2F666FF1-F68C-4F95-94F0-6E3BFC12C38E},14060005,Lower Green-Desolation Canyon,{ABC21FC1-10C9-463B-BBB3-903B58E23159},97267,14060005
70,204007,-107.781250000000000,36.718750000000000,170.000000000000000,{11C8B379-9D51-4C73-9869-20F9D63552F3},14080103,Blanco Canyon,{F4E23076-8D49-4381-BDB0-E0C56D30BA8E},139030,14080103
71,167430,-111.468750000000000,39.093750000000000,1080.000000000000000,{F45A7F1F-5FBE-45D3-A538-09744E1E3F04},14070002,Muddy,{9649BB66-16F8-48F0-96AF-19E34C44CCE6},110665,14070002
72,199110,-113.531250000000000,37.031250000000000,736.000000000000000,{E9A87E72-3349-4269-8D4F-A7B980D4B298},15010009,Fort Pearce Wash,{2097693D-3853-49C9-9AA5-5ECC0F2B231B},135296,15010009
73,202949,-113.843750000000000,36.781250000000000,900.000000000000000,{DA8A0176-2A6C-41F5-AD95-FFDE023BF841},15010006,Grand Wash,{C59FDC80-EDE2-44E1-87EB-2E50981BA493},138201,15010006
74,191425,-113.343750000000000,37.531250000000000,1083.000000000000000,{A6FB7089-13AE-49D9-83D6-9F5ECFD6B1F3},15010008,Upper Virgin,{FBB91C73-897D-4C40-9F01-F3F515F5C3F9},129427,15010008
